,topic,stance,confidence,source,expert,annotation,
42,gambling,p,0.539838127,"{'source': 'prediction', 'related_topic': 'evolution', 'stance': 'p', 'correlation': 'consistent'}",ma ying-jeou,p,
30,creationism,c,0.631289066,"{'source': 'prediction', 'related_topic': 'evolution', 'stance': 'p', 'correlation': 'contrast'}",john hanke,none,
18,protestantism,p,0.714206839,"{'source': 'prediction', 'related_topic': 'evolution', 'stance': 'p', 'correlation': 'consistent'}",alfred percy sinnett,none,
4,authoritarianism,c,0.385971364,"{'source': 'ibm', 'related_topic': 'islam', 'stance': 'p', 'correlation': 'contrast'}",marwan kenzari,none,
22,hinduism,p,0.526531577,"{'source': 'ibm', 'related_topic': 'lgbt', 'stance': 'p', 'correlation': 'consistent'}",crystal bowersox,none,
2,apartheid,c,0.524837438,"{'source': 'ibm', 'related_topic': 'islam', 'stance': 'p', 'correlation': 'contrast'}",mihnea turcitul,none,
2,buddhism,p,0.520182764,"{'source': 'ibm', 'related_topic': 'protestantism', 'stance': 'p', 'correlation': 'consistent'}",merrell vories hitotsuyanagi,none,
38,protestantism,p,0.668003981,"{'source': 'ibm', 'related_topic': 'nationalism', 'stance': 'p', 'correlation': 'consistent'}",viktor alksnis,none,
24,racism,c,0.502507819,"{'source': 'prediction', 'related_topic': 'socialism', 'stance': 'p', 'correlation': 'contrast'}",jacques chirac,p,no fixed conclusion
48,conservatism,p,0.593393723,"{'source': 'prediction', 'related_topic': 'nationalism', 'stance': 'p', 'correlation': 'consistent'}",abu yusuf,none,
41,socialism,p,0.892424347,"{'source': 'prediction', 'related_topic': 'islam', 'stance': 'p', 'correlation': 'consistent'}",clifford may,c,
7,capitalism,c,0.454163948,"{'source': 'ibm', 'related_topic': 'islam', 'stance': 'p', 'correlation': 'contrast'}",demba ba,none,
22,immigration,c,0.727381076,"{'source': 'ibm', 'related_topic': 'islam', 'stance': 'p', 'correlation': 'contrast'}",ibn-e-insha,none,
7,authoritarianism,c,0.600425784,"{'source': 'ibm', 'related_topic': 'lgbt', 'stance': 'p', 'correlation': 'contrast'}",nicole lefavour,none,
0,abortion,c,0.469441452,"{'source': 'prediction', 'related_topic': 'nationalism', 'stance': 'p', 'correlation': 'contrast'}",clarence page,none,
18,censorship,c,0.577038437,"{'source': 'ibm', 'related_topic': 'marxism', 'stance': 'p', 'correlation': 'contrast'}",alexandru nicolschi,none,
13,judaism,p,0.449425784,"{'source': 'ibm', 'related_topic': 'fascism', 'stance': 'c', 'correlation': 'contrast'}",oscar luigi scalfaro,none,
24,globalization,c,0.524300927,"{'source': 'ibm', 'related_topic': 'socialism', 'stance': 'p', 'correlation': 'contrast'}",michael noyk,none,
43,copyright,p,0.570987622,"{'source': 'prediction', 'related_topic': 'evolution', 'stance': 'p', 'correlation': 'consistent'}",randall collins,none,
23,feminism,p,0.863396589,"{'source': 'ibm', 'related_topic': 'judaism', 'stance': 'p', 'correlation': 'consistent'}",gabriel herman,none,
32,intelligent design,p,0.553124216,"{'source': 'prediction', 'related_topic': 'evolution', 'stance': 'p', 'correlation': 'consistent'}",laura hewitson,none,
1,agnosticism,c,0.424597049,"{'source': 'ibm', 'related_topic': 'lgbt', 'stance': 'p', 'correlation': 'contrast'}",dawn airey,none,
34,pacifism,p,0.690225525,"{'source': 'prediction', 'related_topic': 'marxism', 'stance': 'p', 'correlation': 'consistent'}",chou en-lai,p,
47,separatism,p,0.414626658,"{'source': 'ibm', 'related_topic': 'judaism', 'stance': 'p', 'correlation': 'consistent'}",louis sigurd fridericia,none,
53,zionism,p,0.670318657,"{'source': 'ibm', 'related_topic': 'lgbt', 'stance': 'p', 'correlation': 'consistent'}",kevin spirtas,none,
4,authoritarianism,c,0.385971364,"{'source': 'ibm', 'related_topic': 'islam', 'stance': 'p', 'correlation': 'contrast'}",saeed al-masri,,
3,atheism,p,0.725626604,"{'source': 'ibm', 'related_topic': 'feminism', 'stance': 'p', 'correlation': 'consistent'}",margaret sandhurst,,
23,feminism,p,0.863396589,"{'source': 'ibm', 'related_topic': 'judaism', 'stance': 'p', 'correlation': 'consistent'}",victor goldschmidt,none,
10,nationalism,p,0.469564035,"{'source': 'ibm', 'related_topic': 'abortion', 'stance': 'c', 'correlation': 'contrast'}",david reardon,,
8,capital punishment,c,0.593508665,"{'source': 'prediction', 'related_topic': 'evolution', 'stance': 'p', 'correlation': 'contrast'}",edna st. vincent millay,c,
23,feminism,p,0.863396589,"{'source': 'ibm', 'related_topic': 'judaism', 'stance': 'p', 'correlation': 'consistent'}",myra landau,none,
44,conservatism,p,0.370534041,"{'source': 'ibm', 'related_topic': 'socialism', 'stance': 'p', 'correlation': 'consistent'}",alexander tsulukidze,,
13,christianity,p,0.459752603,"{'source': 'ibm', 'related_topic': 'judaism', 'stance': 'p', 'correlation': 'consistent'}",alexander drouz,,
42,separatism,p,0.402513352,"{'source': 'prediction', 'related_topic': 'lgbt', 'stance': 'p', 'correlation': 'consistent'}",hida viloria,,
47,sharia,p,0.415983559,"{'source': 'ibm', 'related_topic': 'socialism', 'stance': 'p', 'correlation': 'consistent'}",madhu dandavate,,
35,european union,p,0.578822843,"{'source': 'prediction', 'related_topic': 'twitter', 'stance': 'p', 'correlation': 'consistent'}",tao lin,,
29,faith,c,0.426197947,"{'source': 'ibm', 'related_topic': 'socialism', 'stance': 'p', 'correlation': 'contrast'}",markus kainulainen,,
40,social media,p,0.551395166,"{'source': 'ibm', 'related_topic': 'islam', 'stance': 'p', 'correlation': 'consistent'}",nirwan dewanto,,
50,transsexual,p,0.999818311,"{'source': 'ibm', 'related_topic': 'lgbt', 'stance': 'p', 'correlation': 'consistent'}",mayra santos-febres,p,
42,gambling,p,0.412166481,"{'source': 'prediction', 'related_topic': 'twitter', 'stance': 'p', 'correlation': 'consistent'}",tony mcnulty,p,
23,liberalism,c,0.81873717,"{'source': 'ibm', 'related_topic': 'socialism', 'stance': 'p', 'correlation': 'contrast'}",karl kautsky,,
13,christianity,p,0.459752603,"{'source': 'ibm', 'related_topic': 'judaism', 'stance': 'p', 'correlation': 'consistent'}",yehuda avner,,
26,independence,p,0.808655328,"{'source': 'ibm', 'related_topic': 'lgbt', 'stance': 'p', 'correlation': 'consistent'}",timothy conigrave,,
24,mining,p,0.471981452,"{'source': 'prediction', 'related_topic': 'cold war', 'stance': 'p', 'correlation': 'consistent'}",james lang,,
11,european union,p,0.578817632,"{'source': 'prediction', 'related_topic': 'twitter', 'stance': 'p', 'correlation': 'consistent'}",jamie dornan,,
19,faith,c,0.426197947,"{'source': 'ibm', 'related_topic': 'socialism', 'stance': 'p', 'correlation': 'contrast'}",britt bohlin olsson,,
55,transgender,p,0.447788721,"{'source': 'ibm', 'related_topic': 'judaism', 'stance': 'p', 'correlation': 'consistent'}",maurice benedict de worms,none,
9,marxism,p,0.978069955,"{'source': 'ibm', 'related_topic': 'communism', 'stance': 'p', 'correlation': 'consistent'}",adelheid schulz,none,
38,mining,p,0.693707206,"{'source': 'ibm', 'related_topic': 'socialism', 'stance': 'p', 'correlation': 'consistent'}",shawkat ali (politician),,
13,conscription,c,0.412633118,"{'source': 'ibm', 'related_topic': 'socialism', 'stance': 'p', 'correlation': 'contrast'}",kamal hossain,,
14,cold war,p,0.811426235,"{'source': 'ibm', 'related_topic': 'judaism', 'stance': 'p', 'correlation': 'consistent'}",sarah caplin,,
21,feminism,p,0.99905049,"{'source': 'ibm', 'related_topic': 'lgbt', 'stance': 'p', 'correlation': 'consistent'}",james kirkup,p,
38,mining,p,0.693707206,"{'source': 'ibm', 'related_topic': 'socialism', 'stance': 'p', 'correlation': 'consistent'}",bhim prasad dahal,,
3,immigration,c,0.397003471,"{'source': 'prediction', 'related_topic': 'copyright', 'stance': 'p', 'correlation': 'contrast'}",derek khanna,,
25,racism,c,0.824240345,"{'source': 'ibm', 'related_topic': 'socialism', 'stance': 'p', 'correlation': 'contrast'}",mark ruffalo,,
40,smoking,c,0.439993711,"{'source': 'prediction', 'related_topic': 'youtube', 'stance': 'p', 'correlation': 'contrast'}",erik almqvist,,
22,judaism,p,0.803126499,"{'source': 'prediction', 'related_topic': 'twitter', 'stance': 'p', 'correlation': 'consistent'}",zitto kabwe,,
20,european union,p,0.723682275,"{'source': 'ibm', 'related_topic': 'socialism', 'stance': 'p', 'correlation': 'consistent'}",harry mcshane,,
11,fascism,c,0.527337907,"{'source': 'prediction', 'related_topic': 'racism', 'stance': 'c', 'correlation': 'consistent'}",ruth c. engs,,
9,christianity,p,0.606319482,"{'source': 'ibm', 'related_topic': 'islam', 'stance': 'p', 'correlation': 'consistent'}",hassan abdul karim,,
56,transsexual,p,0.442296144,"{'source': 'ibm', 'related_topic': 'judaism', 'stance': 'p', 'correlation': 'consistent'}",shlomo bar,none,
19,faith,c,0.426197947,"{'source': 'ibm', 'related_topic': 'socialism', 'stance': 'p', 'correlation': 'contrast'}",vincent auriol,none,
1,islam,p,0.638430891,"{'source': 'ibm', 'related_topic': 'socialism', 'stance': 'p', 'correlation': 'consistent'}",dorothy day,,
2,censorship,c,0.220918363,"{'source': 'prediction', 'related_topic': 'atheism', 'stance': 'p', 'correlation': 'contrast'}",josé maría castro madriz,,
47,sharia,p,0.415983559,"{'source': 'ibm', 'related_topic': 'socialism', 'stance': 'p', 'correlation': 'consistent'}",yehudah leib levin,,
49,transgender,p,0.999573814,"{'source': 'prediction', 'related_topic': 'lgbt', 'stance': 'p', 'correlation': 'consistent'}",jacqueline kennedy onassis,none,
10,evolution,p,0.655984441,"{'source': 'prediction', 'related_topic': 'socialism', 'stance': 'p', 'correlation': 'consistent'}",margot adler,,
30,marxism,p,0.841513966,"{'source': 'ibm', 'related_topic': 'lgbt', 'stance': 'p', 'correlation': 'consistent'}",david laws,,
10,feminism,p,0.41708279,"{'source': 'prediction', 'related_topic': 'nationalism', 'stance': 'p', 'correlation': 'consistent'}",robert leiber,none,
52,tax,c,0.591848395,"{'source': 'ibm', 'related_topic': 'lgbt', 'stance': 'p', 'correlation': 'contrast'}",ilana kloss,,
2,al jazeera,p,0.493148551,"{'source': 'ibm', 'related_topic': 'lgbt', 'stance': 'p', 'correlation': 'consistent'}",carrie mac,,
44,racism,c,0.824240345,"{'source': 'ibm', 'related_topic': 'socialism', 'stance': 'p', 'correlation': 'contrast'}",kees vendrik,,
13,cold war,p,0.930874102,"{'source': 'prediction', 'related_topic': 'evolution', 'stance': 'p', 'correlation': 'consistent'}",nuri demirağ,,
40,racism,c,0.766314666,"{'source': 'prediction', 'related_topic': 'lgbt', 'stance': 'p', 'correlation': 'contrast'}",carmen llywelyn,,
0,abortion,c,0.456524461,"{'source': 'ibm', 'related_topic': 'judaism', 'stance': 'p', 'correlation': 'contrast'}",samuel jessurun de mesquita,none,
28,judaism,p,0.982271398,"{'source': 'prediction', 'related_topic': 'lgbt', 'stance': 'p', 'correlation': 'consistent'}",william hoffman,,
39,nationalism,p,0.978631035,"{'source': 'ibm', 'related_topic': 'judaism', 'stance': 'p', 'correlation': 'consistent'}",ben-tzion spitz,,
43,protestantism,p,0.613927901,"{'source': 'ibm', 'related_topic': 'socialism', 'stance': 'p', 'correlation': 'consistent'}",umar mustafa al-muntasir,,
35,pacifism,p,0.558208639,"{'source': 'ibm', 'related_topic': 'lgbt', 'stance': 'p', 'correlation': 'consistent'}",rodolfo morales,,
30,globalization,c,0.524171832,"{'source': 'prediction', 'related_topic': 'socialism', 'stance': 'p', 'correlation': 'contrast'}",miroslav štěpán,,
8,censorship,c,0.597126879,"{'source': 'ibm', 'related_topic': 'islam', 'stance': 'p', 'correlation': 'contrast'}",arsala rahmani daulat,none,
