Key_concept,Related_concept,Term,Article_url,Sentence,Author,Label,Annotation,,,Annotation,Annotation
lgbt,lgbt,drag queens,https://en.wikipedia.org/wiki?curid=4774806,"it is also home to some of ireland 's best-known drag queens such as shirley temple bar , veda beaux reves , davina devine and dolly grip as well as a host of other drag acts .",Veda Beaux Reves,P,p,,,,p
buddhism,buddhism,monks,https://en.wikipedia.org/wiki?curid=1682871,"tibetan buddhist monks from a monastery in bhutan , led by lama norbu  come to seattle in order to meet an american boy  .",Lama,P,p,,,,p
socialism,marxism,marxist,https://en.wikipedia.org/wiki?curid=95871,"the theory of three represents was believed by many political analysts to be jiang s  effort at extending jiang s vision to marxist – leninist principles , and therefore elevating jiang s alongside previous chinese marxist philosophers mao zedong and deng xiaoping .",Deng Xiaoping,P,p,,,,p
anarchism,anarchism,anarchist,https://en.wikipedia.org/wiki?curid=9484632,"leftists and trade unionists took part , including the anarchist errico malatesta , and pasquale binazzi and armando borghi 's italian syndicalist union ( usi ) .",Errico Malatesta,P,p,,,,p
atheism,atheism,atheism,https://en.wikipedia.org/wiki?curid=36948,"karl marx also rejected the classical liberal principles of the enlightenment based on the doctrine of individualism , which karl marx criticized as presupposing either metaphysical materialism or political atheism .",Karl Marx,P,others,,,,others
islam,islam,islam,https://en.wikipedia.org/wiki?curid=4767075,"when first reading about islam , malcolm x. yasin often used encyclopædia britannica as a reliable source on islam and its concepts .",Malcolm X,P,others,,,,others
socialism,marxism,marxist,https://en.wikipedia.org/wiki?curid=26591002,"joining work on this first membership-elected committee were de facto party leader morris hillquit , an eloquent urban marxist  and ben hanford of new york , ernest untermann of florida , a.m. simons and joseph medill patterson of illinois , and victor l. berger of wisconsin .",Morris Hillquit,P,others,,,,others
islam,islam,islam,https://en.wikipedia.org/wiki?curid=197000,"khalaf al-barbarĩ , who traveled to medina and was converted to islam by the prophet muhammad himself then commanded the figure idris to draw another figure , and upon doing so a stranger  explained the meaning and significance of that figure .",Muhammad,P,p,,,,p
buddhism,buddhism,buddhism,https://en.wikipedia.org/wiki?curid=291844,huiguo s was the first person to gather the still scattered elements of indian and chinese esoteric buddhism into a cohesive system .,Huiguo,P,p,,,,p
kabbalah,kabbalah,kabbalah,https://en.wikipedia.org/wiki?curid=173229,"rabbi dov baer  later became an admirer of rabbi isaac luria 's system of kabbalah , which was becoming popular at that time , and was aware of rabbi moshe chaim luzzatto , whose writings , then only in manuscript , were well known among the polish mystics of the period .",Isaac Luria,P,p,,,,p
zionism,zionism,zionism,https://en.wikipedia.org/wiki?curid=39994939,"beltway park also teaches christian zionism , the belief in the importance of the evangelism of israel in the church today in accordance with teachings of don finto .",Don Finto,P,p,,,,p
scientology,scientology,scientology,https://en.wikipedia.org/wiki?curid=1451595,"i personally observed the board ( of directors ) david miscavige , who has held this position since 1987 take over this position of ultimate power over all of scientology after l. ron hubbard died .",David Miscavige,P,p,,,,p
facebook,facebook,facebook,https://en.wikipedia.org/wiki?curid=37117998,"the time magazine introduction to roya mahboob was written by sheryl sandberg who is the chief operating officer of facebook and the author of lean in : women , work and the will to lead .",Sheryl Sandberg,P,p,,,,p
lgbt,lgbt,gay,https://en.wikipedia.org/wiki?curid=52429670,"republican john wilson in the general election is openly gay , and serves alongside three other openly lgbt legislators : daniel hernández jr. , robert meza and tony navarrete .",Robert Meza,P,p,,,,p
lgbt,lgbt,gay,https://en.wikipedia.org/wiki?curid=176935,the only known gay men in the movement were james baldwin and bayard rustin .,Bayard Rustin,P,p,,,,p
islam,islam,islam,https://en.wikipedia.org/wiki?curid=8008320,"muhammad married asma bint umays , who converted to islam in 614-615 .",Muhammad,P,p,,,,p
judaism,judaism,judaism,https://en.wikipedia.org/wiki?curid=164168,"he was a mentor to figures in modern jewish outreach , such as rabbi david weiss halivni , who became a prominent scholar at conservative judaism 's jewish theological seminary of america ( jtsa ) .",David Weiss Halivni,P,p,,,,p
fascism,fascism,fascism,https://en.wikipedia.org/wiki?curid=56299278,"revolutionary fascist party ( partito fascista rivoluzionario , pfr ) ( aka fascist revolutionary party ) was the first political party established by benito mussolini , founded in january 1915 , as described in his 1933 the political and social doctrine of fascism .",Benito Mussolini,P,p,,,,p
scientology,scientology,scientology,https://en.wikipedia.org/wiki?curid=7881283,"its true authorship is not clear , the three common hypotheses being : scientology 's founder l. ron hubbard , oliver kenneth goff        , or both l. ron hubbard and oliver kenneth goff  based on an acquired us agency report .",L. Ron Hubbard,P,p,,,,p
lgbt,lgbt,gay,https://en.wikipedia.org/wiki?curid=11510572,in 1987 german filmmakers wieland speck and manfred salzgeber formed a jury called the international gay & lesbian film festival association ( iglffa ) to create an award for lgbt films .,Manfred Salzgeber,P,p,,,,p
islam,islam,islam,https://en.wikipedia.org/wiki?curid=1149382,"muhammad s went to the city named ta'if and invited them to islam , but them refused muhammad s message .",Muhammad,P,p,,,,p
islam,islam,islam,https://en.wikipedia.org/wiki?curid=8593056,"jost was the first to point out that in the 30th chapter , there is a clear allusion to the three stages of the muslim conquest - that of arabia ( משא בערב ) , of spain ( איי הים ) , and of rome ( 830 c.e. ; כרך גדול רומי ) ; also the names of fatima and ayesha occur beside that of ishmael , leading to the conclusion that the book originated in a time when islam was predominant in asia minor .",Ishmael,P,others,,,,others
buddhism,buddhism,monks,https://en.wikipedia.org/wiki?curid=30994,"some of the more well-known theravādan monks are mun bhuridatta , ajahn chah , ledi sayadaw , webu sayadaw , ajahn plien panyapatipo , ajahn sumedho , ajahn khemadhammo , ajahn brahm , bhikkhu bodhi , buddhadasa , mahasi sayadaw , nyanaponika thera , preah maha ghosananda , u pandita , ajahn amaro , ajahn sucitto , thanissaro bhikkhu , walpola rahula , henepola gunaratana , bhante yogavacara rahula and luang pu sodh candasaro .",Ajahn Sumedho,P,p,,,,p
socialism,marxism,marxism,https://en.wikipedia.org/wiki?curid=24326,"the soviet leader joseph stalin , including stalin s the history of the communist party of the soviet union ( bolsheviks )  approach to marxism — known as stalinism — gave sâr a sense of purpose in life .",Joseph Stalin,P,others,,,,others
judaism,judaism,jews,https://en.wikipedia.org/wiki?curid=1391300,"the leader of the haredi jews in palestine at the time , rabbi yosef chaim sonnenfeld chose 1923 de haan  to organize and represent the haredi position as their foreign minister , on a diplomatic level equal to that of the secular zionists .",Yosef Chaim Sonnenfeld,P,p,,,,p
lgbt,lgbt,lgbt,https://en.wikipedia.org/wiki?curid=15532763,"brenda howard is known as the mother of pride , for brenda howard work in coordinating the first lgbt pride march , and brenda howard also originated the idea for a week-long series of events around pride day which became the genesis of the annual lgbt pride celebrations that are now held around the world every june .",Brenda Howard,P,p,,,,p
fascism,fascism,nazis,https://en.wikipedia.org/wiki?curid=26224103,"israeli historian zeev sternhell commented that the effect of this single-minded focus on ideas and personalities was that : in some ways , professor nolte s   approach recalls that of gerhard ritter and friedrich meinecke : thomas more , for ritter , machiavelli , for friedrich meinecke , and now charles maurras , for professor nolte s , are so many proofs of the universality of evil , so many proofs that it was almost by accident , by a mere conjunction of political circumstances , that the nazis arose in germany .",Charles Maurras,P,,,,,
jainism,jainism,jain,https://en.wikipedia.org/wiki?curid=3817291,"from the 7th to the 10th century , talented jain monk/writer acharya haribhadra , mundas gani , udayprabhsuri , mahnedrsuri , rajendrasuri and many more created here valuable jain literature and sanctified and beautified this place .",Haribhadra,P,others,,,,others
lgbt,lgbt,lgbt,https://en.wikipedia.org/wiki?curid=25824901,"party leader danton remoto , a professor at ateneo de manila university , cited the universal declaration on human rights and the international covenant on civil and political rights as reasons why lgbt group ang ladlad  should be re-instated .",Danton Remoto,P,p,,,,p
scientology,scientology,scientology,https://en.wikipedia.org/wiki?curid=37917973,"after jason scott sold jason scott $ 1.875 million judgment to scientologist gary beeny for $ 25,000 , this made beeny , represented by scientology attorney kendrick moxon , can 's largest creditor .",Kendrick Moxon,P,p,,,,p
socialism,marxism,communists,https://en.wikipedia.org/wiki?curid=283205,"in particular , the china hands , american diplomats known for their knowledge of china , also attempted to establish diplomatic contacts with mao zedong 's communists in their stronghold in yan ' an , with a goal of fostering unity between the nationalists and communists , thus manipulating the politics of china in a way .",Mao Zedong,P,others,,,,others
islam,islam,islam,https://en.wikipedia.org/wiki?curid=21021,"as the birthplace of muḥammad , and the site of muhammad 's first revelation of the quran ( specifically , a cave from mecca ) , mecca is regarded as the holiest city in the religion of islam and a pilgrimage to it known as the hajj is obligatory for all able muslims .",Muhammad,P,others,,,,others
lutheranism,lutheranism,lutheranism,https://en.wikipedia.org/wiki?curid=41333542,"however , by the second half of the century the city started leaning towards lutheranism under the leadership of johann marbach , a former doctoral student of martin luther .",Martin Luther,P,p,,,,p
facebook,facebook,facebook,https://en.wikipedia.org/wiki?curid=26749224,in an answer to the question how did former facebook employees adam dangelo and charlie cheever   charlie cheever  come up with the name quora ?,Charlie Cheever,P,others,,,,others
socialism,marxism,marxism,https://en.wikipedia.org/wiki?curid=39606955,"in 1978 , thompson s polemic published the poverty of theory which attacked the structural marxism of louis althusser and louis althusser followers in britain on new left review ( famously saying : ... all of his followers in britain on new left review are , unhistorical shit ) .",Louis Althusser,P,p,,,,p
lgbt,lgbt,gay,https://en.wikipedia.org/wiki?curid=1954541,"mervyn castle , who is openly gay , was consecrated as bishop of false bay by desmond tutu , the then archbishop of cape town in 1994 .",Desmond Tutu,P,c,,,,c
eugenics,eugenics,eugenics,https://en.wikipedia.org/wiki?curid=37440011,"other prominent figures in eugenics who were associated with charles davenport ( 1866-1944 ) , a scientist from the united states included harry laughlin ( united states ) , havelock ellis ( united kingdom ) , irving fischer ( united states ) , eugen fischer ( germany ) , madison grant ( united states ) , lucien howe ( united states ) , and margaret sanger ( united states , founder of planned parenthood ) .",Margaret Sanger,P,p,,,,p
socialism,communism,monarchists,https://en.wikipedia.org/wiki?curid=357574,"during the third reich , the kpö played an important role in the austrian resistance , fighting side-by-side with former political enemies such as christian socialists , catholics , monarchists , and farmers against adolf hitler ’s  regime .",Adolf Hitler,C,c,,,,c
fascism,fascism,nazis,https://en.wikipedia.org/wiki?curid=10759009,his successor chancellor kurt schuschnigg undertook further to allow two people whom the nazis trusted into the government .,Kurt Schuschnigg,P,others,,,,others
islam,islam,islam,https://en.wikipedia.org/wiki?curid=6729041,"a white boy from chelsea could not have made this film , explains indian film-maker parvez sharma that explores islam and homosexuality      – based director of a jihad for love , opening may 21 .",Parvez Sharma,P,others,,,,others
socialism,socialism,socialism,https://en.wikipedia.org/wiki?curid=29665,"it has been suggested that the concept of state capitalism can be traced back to mikhail bakunin 's critique during the first international of the potential for state exploitation under marxist-inspired socialism , or to jan waclav machajski 's argument in the intellectual worker ( 1905 ) that socialism was a movement of the intelligentsia as a class , resulting in a new type of society jan waclav machajski s termed state capitalism .",Mikhail Bakunin,P,p,,,,p
judaism,judaism,jews,https://en.wikipedia.org/wiki?curid=52782031,salo wittmayer baron  declared that ... from khazaria jews began to penetrate into the vast plains of eastern-europe .,Salo Wittmayer Baron,P,others,,,,others
buddhism,buddhism,monks,https://en.wikipedia.org/wiki?curid=5662023,an edict providing that foreign monks be defrocked and returned to foreign monks homelands resulted in ennin 's expulsion from china .,Ennin,P,others,,,,others
judaism,judaism,judaism,https://en.wikipedia.org/wiki?curid=183455,"west london and the two other nonconformist synagogues that withdrew from the authority of chief rabbi hermann adler , which would much later be the basis for the movement for reform judaism , were scarcely motivated by deep conviction .",Hermann Adler,P,others,,,,others
sufism,sufism,sufism,https://en.wikipedia.org/wiki?curid=8914,"syrian sufism has its stronghold in urban regions such as damascus , where it also established political movements such as zayd , with the help of a series of mosques , and clergy such as abd al-ghani al-nabulsi , sa'id hawwa , abd al-rahman al-shaghouri and muhammad al-yaqoubi .",Muhammad al-Yaqoubi,P,p,,,,p
lgbt,lgbt,gay,https://en.wikipedia.org/wiki?curid=23472665,"in addition , the 1951 flight to the soviet union of gay british spies guy burgess and donald maclean also helped fuel the association of homosexuality and treason in the public imagination .",Guy Burgess,P,p,,,,p
apartheid,apartheid,apartheid,https://en.wikipedia.org/wiki?curid=403102,"during this time , the party was led by liberal-minded opponents of apartheid , such as jan steytler , helen suzman , zach de beer , colin eglin , frederik van zyl slabbert and harry schwarz .",Zach de Beer,C,c,,,,c
nationalism,nationalism,hamas,https://en.wikipedia.org/wiki?curid=28378075,"in an address to a group of european mps , the hamas leader in gaza , ismail haniyeh , said the hamas leader in gaza , ismail haniyeh government was willing to accept a palestinian state within the 1967 borders .",Ismail Haniyeh,P,p,,,,p
google,google,google,https://en.wikipedia.org/wiki?curid=1606370,"on september 8 , 2011 , the company was acquired by google for a reported $ 125 million , the 10th largest acquisition by google as of that date , at the championing of marissa mayer , its vice president of local , maps , and location services .",Marissa Mayer,P,p,,,,p
feminism,feminism,feminists,https://en.wikipedia.org/wiki?curid=2107559,"a number of islamic feminists , including fadela amara and support bans on the hijab for various reasons .",Fadela Amara,P,p,,,,p
buddhism,buddhism,buddhism,https://en.wikipedia.org/wiki?curid=19437877,the rinpungpa tended to associate with the karmapa sect of buddhism while the phagmodrupa often ( but not exclusively ) favoured the rival gelug sect .,Karmapa,P,others,,,,others
lgbt,lgbt,bisexual,https://en.wikipedia.org/wiki?curid=50689317,"in 2012 , angie buhl became the first openly lgbt public official in south dakota upon angie buhl coming out as bisexual .",Angie Buhl,P,p,,,,p
scientology,scientology,scientology,https://en.wikipedia.org/wiki?curid=2236112,"its view of russell miller s  book was summed up by the executor of the l. ron hubbard s estate , who called it a scumbag book ... full of bullshit , while a scientology spokesperson in canada compared it to a life of christ written by judas iscariot .",Russell Miller,C,others,,,,others
judaism,judaism,jewish religion,https://en.wikipedia.org/wiki?curid=462984,humanistic judaism presents a far more radical departure from traditional jewish religion than mordecai kaplan ( co-founder of reconstructionist judaism ) ever envisioned .,Mordecai Kaplan,P,others,,,,others
anarchism,anarchism,anarchism,https://en.wikipedia.org/wiki?curid=1249918,"thus , albert meltzer contends that it is only possible to conceive of anarchism which is free , communistic and offering no economic necessity for repression of countering it .",Albert Meltzer,P,p,,,,p
google,google,google,https://en.wikipedia.org/wiki?curid=33909134,"apple ’s steve jobs , microsoft ’s bill gates , and google ’s eric schmidt  voted bernard soriano the 3rd most influential person behind jobs ( # 1 ) and linus torvalds ( # 2 ) , and ahead of gates ( # 5 ) .",Eric Schmidt,P,p,,,,p
fascism,fascism,nazis,https://en.wikipedia.org/wiki?curid=5451330,"except for individual attacks on nazis ( including adolf hitler ) or sabotage acts , the only real strategy was to persuade leaders of the wehrmacht to stage a coup against the regime : the 1944 assassination attempt against adolf hitler was intended to trigger such a coup .",Adolf Hitler,P,p,,,,p
socialism,marxism,marxism,https://en.wikipedia.org/wiki?curid=508196,"in december 2009 , the times commentator oliver kamm  wrote in noam chomsky blog for the times newspaper that media lens had removed from their website a reprint of open letter to amnesty international by edward s. herman and david peterson in which the authors , the times commentator oliver kamm asserted , repeated false claims about serb-run detention camps in bosnia which had led in 2000 to a successful libel action brought against lm magazine ( originally living marxism ) by itn .",Noam Chomsky,C,others,,,,others
judaism,judaism,jews,https://en.wikipedia.org/wiki?curid=7696431,"thanks to joseph saragossi who had arrived in the closing years of the 15th century , safed and its environs had developed into the largest concentration of jews in palestine .",Joseph Saragossi,P,others,,,,others
judaism,judaism,jews,https://en.wikipedia.org/wiki?curid=3351048,they kept on at usayr ibn zarim until usayr ibn zarim went with they with a number of jews .,Usayr ibn Zarim,P,others,,,,others
lgbt,lgbt,gay,https://en.wikipedia.org/wiki?curid=40322419,"a prime aim for david bohnett is to create an environment which destigmatizes homosexuality , and to that end david bohnett has funded both national gay rights organizations and also local lgbt organizations and centers across the u.s .",David Bohnett,P,p,,,,p
anarchism,anarchism,anarchist,https://en.wikipedia.org/wiki?curid=1799997,mutualism can in many ways be considered the original anarchy since pierre-joseph proudhon was the first to identify pierre-joseph proudhon as an anarchist .,Pierre-Joseph Proudhon,P,p,,,,p
islam,islam,islam,https://en.wikipedia.org/wiki?curid=49001,"when fannie lou hamer spoke to harlemites about the jim crow  violence that fannie lou hamer 'd suffered in mississippi , fannie lou hamer linked it directly to the northern police brutality against blacks that malcolm x ( el-hajj malik el-shabazz ) , national representative of the nation of islam protested against ; when malcolm x ( el-hajj malik el-shabazz ) , national representative of the nation of islam asserted that african americans  should emulate the mau mau army of kenya in efforts to gain african americans independence , many in sncc applauded .",Malcolm X,P,p,,,,p
buddhism,buddhism,monks,https://en.wikipedia.org/wiki?curid=297223,"in 1954 , nyanatiloka and nyanaponika were the only two western-born monks invited to participate in the sixth buddhist council in yangon , burma .",Nyanatiloka,P,p,,,,p
socialism,communism,communism,https://en.wikipedia.org/wiki?curid=52759772,"reuben shemitz startled brother-in-law , who , like most americans , was completely unaware of what communism is really like ( us had never discussed the subject ) , tried to explain that miss grace hutchins did not know even the whereabouts of your sister  , miss grace hutchins husband or their children ... if miss grace hutchins does not show up by ( such and such a day ) , miss grace hutchins said briskly , miss grace hutchins will be killed .",Grace Hutchins,P,others,,,,others
anarchism,anarchism,anarchist,https://en.wikipedia.org/wiki?curid=56363409,"roman lewis      , would serve through 1919 , a heyday for both the newspaper and the jewish anarchist movement .",Roman Lewis,P,p,,,,p
lgbt,lgbt,lesbian,https://en.wikipedia.org/wiki?curid=8703380,the lesbian feminist scholar janice raymond accused stone by name of plotting to destroy the olivia records collective and womanhood in general with male energy .,Janice Raymond,P,p,,,,p
islam,islam,islam,https://en.wikipedia.org/wiki?curid=1193402,"the introduction of islam in china began during the reign of emperor gaozong ( r. 649 – 683 ) , with missionaries such as sa 'd ibn abi waqqas , a maternal uncle to the prophet muhammad .",Muhammad,P,others,,,,others
socialism,marxism,marxism,https://en.wikipedia.org/wiki?curid=55573597,"in official party documentation and pronouncements by xi  colleagues , the thought is said to be a continuation of marxism – leninism , mao zedong thought , deng xiaoping , which places china in the primary stage of socialism  theory , the important thought of the three represents and the scientific development perspective as part of a series of guiding ideologies that embody marxism adapted to chinese conditions and contemporary considerations .",Mao Zedong,P,p,,,,p
lgbt,lgbt,gay,https://en.wikipedia.org/wiki?curid=23472665,"the accounts of gay party members show that homosexuality was widely seen as incompatible with a working-class identity during this era , despite mark ashton ( founder of lesbians and gays support the miners ) being general secretary of the young communist league ( the youth wing of the cpgb ) without compromising the politics of their sexuality .",Mark Ashton,P,p,,,,p
judaism,judaism,judaism,https://en.wikipedia.org/wiki?curid=38486704,"i think a spokesman for yona metzger , the ashkenazi chief rabbi of israel deserves a lot of credit for advancing inter-religious links the world over between judaism , christianity and islam .",Yona Metzger,P,p,,,,p
judaism,judaism,judaism,https://en.wikipedia.org/wiki?curid=727889,"the original dor daim in two ways  are regarded as part of a wider trend within judaism known as talmide ha-rambam ( pupils of maimonides ) , not necessarily confined to the yemenite community .",Maimonides,P,others,,,,others
buddhism,buddhism,buddhism,https://en.wikipedia.org/wiki?curid=344009,"she was inspired by she master and mentor , the late venerable master yin shun ( 印順導師 , yìn shùn dǎoshī ) a proponent of humanistic buddhism , who exhorted she to work for buddhism and for all sentient beings .",Yin Shun,P,p,,,,p
judaism,judaism,rabbis,https://en.wikipedia.org/wiki?curid=149169,"four of samson raphael hirsch sons-in-law became prominent orthodox rabbis : joseph isaacsohn of rotterdam , of schwerin , israel meir freimann of ostrowo , and of kissingen .",Samson Raphael Hirsch,P,p,,,,p
lgbt,lgbt,gay,https://en.wikipedia.org/wiki?curid=58155082,"clay aiken , verraros called outside the most personal song on rollercoaster , as well as one of clay aiken , verraros favorites , and explained that the lyrics are about gay bashing .",Clay Aiken,P,p,,,,p
socialism,marxism,marxist,https://en.wikipedia.org/wiki?curid=3221214,the french marxist maxime rodinson  has defended the use of the term drawing parallels between wahhabism and european fascist ideology .,Maxime Rodinson,P,p,,,,p
judaism,judaism,jews,https://en.wikipedia.org/wiki?curid=33631229,in a preface to the 1937 edition joseph roth was only able to hope for conditions for jews getting steadily and bearably worse .,Joseph Roth,P,p,,,,p
islam,islam,islam,https://en.wikipedia.org/wiki?curid=44246819,december 1947 art blakey had recently gone on a pilgrimage to africa and adopted islam .,Art Blakey,P,p,,,,p
judaism,judaism,jews,https://en.wikipedia.org/wiki?curid=3351048,"the latter sent abdullah bin rawaha with a number of usayr ibn zarim companions , among whom were abdullah bin unays , an ally of banu salima , a clan hostile to the jews .",Usayr ibn Zarim,P,others,,,,others
socialism,socialism,socialism,https://en.wikipedia.org/wiki?curid=58727552,"ernest edwin hunter was close to ramsay macdonald , even after ernest edwin hunter left the party , such as the abc of socialism and socialism at work  , and also to john beckett , with whom ernest edwin hunter shared membership of the 1917 club .",Ramsay MacDonald,P,others,,,,others
socialism,communism,communism,https://en.wikipedia.org/wiki?curid=9221957,"with the establishment of the congress of industrial organizations ( cio ) and the end of third period communism in 1935 , american communist leader , william z. foster , returned to a boring from within strategy .",William Z. Foster,P,p,,,,p
socialism,communism,communists,https://en.wikipedia.org/wiki?curid=19527,"the communists  mao s disagreed over what to do ; the latter wished to proceed to shaanxi , while zhu de joining zhang wanted to retreat east to tibet or sikkim , far from the kmt threat .",Zhu De,P,others,,,,others
buddhism,buddhism,buddhism,https://en.wikipedia.org/wiki?curid=413695,meerut had been a centre of buddhism in the period of mauryan emperor ashoka ( r. 273 bc to 232 bc . ),Ashoka,P,others,,,,others
islam,islam,islam,https://en.wikipedia.org/wiki?curid=5913108,"a muslim , omar bongo , from 1973 to 2009 converted to islam in 1973 and changed a muslim , omar bongo , from 1973 to 2009 name from a muslim , omar bongo , from 1973 to 2009      .",Omar Bongo,P,p,,,,p
lgbt,lgbt,gay,https://en.wikipedia.org/wiki?curid=37209664,"however , some gay men such as andrea dworkin 's husband john stoltenberg are also critical of sadomasochism and pornography and agree with the radical feminist and lesbian feminist criticisms of these practices .",Andrea Dworkin,P,p,,,,p
